CustomerId,snapshot_date,will_churn,churn_proba
CUST_01042,2024-01-01,1,0.9423
CUST_02917,2023-11-01,1,0.9423
CUST_02184,2023-12-01,1,0.9418
CUST_03216,2023-11-01,1,0.9418
CUST_01166,2024-01-01,0,0.9416
CUST_04656,2024-01-01,1,0.9409
CUST_01830,2023-12-01,1,0.9408
CUST_00457,2024-01-01,1,0.9407
CUST_01944,2024-01-01,1,0.9407
CUST_00229,2023-12-01,1,0.9407
CUST_03710,2024-01-01,1,0.9407
CUST_01671,2024-01-01,1,0.9407
CUST_00637,2023-12-01,1,0.9407
CUST_03705,2023-11-01,1,0.9407
CUST_04567,2024-01-01,1,0.9406
CUST_04170,2023-12-01,1,0.9406
CUST_03225,2024-01-01,1,0.9404
CUST_04367,2024-01-01,1,0.9403
CUST_00869,2023-11-01,0,0.9402
CUST_03402,2023-11-01,1,0.9402
CUST_04839,2024-01-01,1,0.94
CUST_01075,2024-01-01,1,0.9395
CUST_02754,2023-11-01,1,0.9395
CUST_00672,2023-12-01,1,0.9394
CUST_01275,2023-12-01,1,0.9394
CUST_04379,2023-11-01,1,0.9394
CUST_02796,2023-11-01,1,0.9393
CUST_00842,2024-01-01,1,0.9393
CUST_02851,2024-01-01,0,0.9392
CUST_01968,2024-01-01,1,0.9392
CUST_01847,2024-01-01,1,0.9391
CUST_04592,2023-11-01,1,0.9389
CUST_01144,2023-12-01,1,0.9389
CUST_00860,2023-11-01,1,0.9389
CUST_04853,2023-12-01,1,0.9386
CUST_00453,2024-01-01,1,0.9386
CUST_01088,2024-01-01,1,0.9386
CUST_02927,2023-11-01,1,0.9383
CUST_00030,2023-12-01,1,0.9383
CUST_02152,2023-12-01,1,0.9383
CUST_01456,2023-12-01,1,0.9381
CUST_00926,2024-01-01,1,0.9381
CUST_04873,2023-11-01,1,0.9381
CUST_02927,2023-12-01,1,0.9379
CUST_01728,2023-11-01,1,0.9377
CUST_02721,2023-12-01,1,0.9376
CUST_00093,2024-01-01,1,0.9375
CUST_03284,2023-11-01,1,0.9375
CUST_00329,2023-11-01,1,0.9375
CUST_04757,2024-01-01,1,0.9375
CUST_04471,2024-01-01,1,0.9375
CUST_00033,2023-12-01,1,0.9375
CUST_01728,2023-12-01,1,0.9375
CUST_02631,2023-11-01,1,0.9375
CUST_03362,2024-01-01,1,0.9375
CUST_04235,2023-11-01,1,0.9375
CUST_01416,2024-01-01,1,0.9375
CUST_02132,2024-01-01,1,0.9372
CUST_04444,2023-11-01,1,0.937
CUST_01025,2024-01-01,1,0.937
CUST_03997,2024-01-01,1,0.937
CUST_04880,2024-01-01,1,0.937
CUST_04477,2023-11-01,1,0.9369
CUST_03875,2024-01-01,1,0.9368
CUST_00915,2024-01-01,1,0.9368
CUST_03411,2024-01-01,1,0.9368
CUST_04474,2023-11-01,1,0.9368
CUST_03180,2024-01-01,1,0.9367
CUST_03109,2023-12-01,1,0.9367
CUST_03009,2023-11-01,1,0.9367
CUST_02830,2024-01-01,1,0.9367
CUST_00151,2024-01-01,1,0.9367
CUST_01720,2023-12-01,1,0.9367
CUST_00235,2023-12-01,1,0.9366
CUST_00135,2023-12-01,1,0.9364
CUST_00497,2023-11-01,1,0.9364
CUST_00124,2023-11-01,1,0.9363
CUST_03101,2024-01-01,1,0.9363
CUST_01650,2023-11-01,1,0.9363
CUST_00544,2024-01-01,1,0.9363
CUST_02100,2024-01-01,0,0.9363
CUST_03537,2023-11-01,1,0.9362
CUST_03259,2024-01-01,1,0.9362
CUST_03473,2023-12-01,1,0.9362
CUST_01662,2023-11-01,1,0.9362
CUST_02618,2023-12-01,1,0.9362
CUST_00988,2023-12-01,1,0.9362
CUST_00988,2023-11-01,1,0.9362
CUST_00057,2023-12-01,1,0.9361
CUST_03468,2024-01-01,1,0.9361
CUST_01075,2023-12-01,1,0.9361
CUST_00549,2023-11-01,1,0.936
CUST_02954,2023-12-01,1,0.936
CUST_04855,2024-01-01,1,0.9359
CUST_04052,2023-12-01,1,0.9357
CUST_04126,2024-01-01,1,0.9357
CUST_01575,2023-12-01,1,0.9356
CUST_01206,2023-12-01,1,0.9356
CUST_00626,2023-11-01,1,0.9356
